"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.538765542E0,-2.670446777E-1,-1.050066376E0,9.386081543E0,9.448411453E0
2.548752542E0,-2.814147949E-1,-1.000818787E0,9.246421967E0,9.304684396E0
2.558738542E0,-3.281176758E-1,-9.702822876E-1,9.105564880E0,9.162991909E0
2.568725542E0,-3.905378723E-1,-9.952803040E-1,9.059460754E0,9.122331493E0
2.578711542E0,-3.977229309E-1,-1.060095520E0,9.094637604E0,9.164846926E0
2.588698542E0,-3.911366272E-1,-1.078507233E0,9.131610718E0,9.203395026E0
2.598685542E0,-3.772155762E-1,-1.017733612E0,9.073980560E0,9.138664919E0
2.608671542E0,-3.204835510E-1,-9.861492920E-1,9.146729279E0,9.205316759E0
2.618658542E0,-2.685415649E-1,-1.020577698E0,9.187294922E0,9.247706818E0
2.628644542E0,-3.028202820E-1,-1.058448944E0,9.099577332E0,9.165932680E0
2.638631542E0,-3.210823059E-1,-1.059347076E0,9.001830597E0,9.069634181E0
2.648618542E0,-3.025209045E-1,-1.052910461E0,8.946146393E0,9.012972574E0
2.658604542E0,-2.953358459E-1,-9.602531433E-1,8.930578766E0,8.986909728E0
2.668591542E0,-3.028202820E-1,-8.532257080E-1,9.011260986E0,9.056628445E0
2.678577542E0,-3.326083374E-1,-8.481362915E-1,9.134604492E0,9.179921716E0
2.688564542E0,-3.580554199E-1,-9.099577332E-1,9.173673248E0,9.225644022E0
2.698550542E0,-4.254153442E-1,-9.223818970E-1,9.094188538E0,9.150739409E0
2.708537542E0,-4.462220764E-1,-9.360035706E-1,9.074729004E0,9.133779246E0
2.718524542E0,-3.924838257E-1,-9.446855164E-1,9.195078735E0,9.251807782E0
2.728510542E0,-3.844006348E-1,-9.044192505E-1,9.315877533E0,9.367567039E0
2.738497542E0,-4.008663940E-1,-8.738827515E-1,9.336534576E0,9.385906606E0
2.748483542E0,-4.147874451E-1,-8.925938416E-1,9.383387146E0,9.434867605E0
2.758470542E0,-4.546046448E-1,-9.063652039E-1,9.344468079E0,9.399321621E0
2.768456542E0,-4.763095093E-1,-8.922944641E-1,9.277557220E0,9.332530640E0
2.778443542E0,-4.661306763E-1,-9.214837646E-1,9.275760956E0,9.333067633E0
2.788429542E0,-4.517605591E-1,-9.758207703E-1,9.198970642E0,9.261607563E0
2.798416542E0,-4.227209473E-1,-9.656419373E-1,9.076824646E0,9.137828134E0
2.808403542E0,-3.824546814E-1,-8.454418945E-1,9.041049042E0,9.088542862E0
2.818389542E0,-3.088078308E-1,-7.201524353E-1,8.980125732E0,9.014246501E0
2.828376542E0,-2.758763123E-1,-7.120692444E-1,8.881181488E0,8.913951703E0
2.838362542E0,-2.945874023E-1,-7.816744995E-1,8.964857483E0,9.003691823E0
2.848349542E0,-2.968327332E-1,-7.735913086E-1,9.085207214E0,9.122913094E0
2.858336542E0,-3.171903992E-1,-7.674540710E-1,9.191186829E0,9.228624536E0
2.868322542E0,-3.347039795E-1,-8.015830994E-1,9.427844696E0,9.467777872E0
2.878309542E0,-3.135978699E-1,-8.541238403E-1,9.704319763E0,9.746881205E0
2.888295542E0,-3.938310242E-1,-8.340655518E-1,9.992919617E0,1.003539788E1
2.898282542E0,-4.758604431E-1,-8.243357849E-1,1.031235535E1,1.035618875E1
2.908268542E0,-5.366340637E-1,-7.291337585E-1,1.039378601E1,1.043313950E1
2.918255542E0,-5.258564758E-1,-6.301895142E-1,1.044932053E1,1.048150578E1
2.928241542E0,-4.531077576E-1,-5.676196289E-1,1.048015640E1,1.050529280E1
2.938228542E0,-3.695814514E-1,-4.849914551E-1,1.042686722E1,1.044468128E1
